7,12,1
7,34,1
34,40,1
34,72,1
40,194,1
40,195,1
169,165,1
169,166,1
168,169,1
204,208,1
231,273,1
165,295,1
169,298,1
295,299,1
169,314,1
165,319,1
295,397,1
399,492,1
295,516,1
516,536,1
516,539,1
539,546,1
561,565,1
561,596,1
492,618,1
492,666,1
761,789,1
810,812,1
810,850,1
761,846,1
951,492,1
1019,952,1
1043,1047,1
1145,492,1
1144,1150,1
492,1202,1
1453,1463,1
1517,1145,1
1561,1562,1
1597,1202,1
1622,1623,1
1650,1652,1
102,128,1
13,181,1
238,240,1
613,737,1
828,1046,1
1085,1118,1
1176,1369,1
1369,1370,1
1565,1566,1
1566,1570,1
1587,1588,1
1588,1664,1
1658,1664,0
1658,1654,0
1639,1664,0
1357,1369,0
1328,1281,1
1331,1336,1
1596,1620,1
159,1638,1
1614,1619,0
1484,1560,0
1409,1470,0
49,50,1
49,70,1
50,193,1
309,70,1
312,782,1
1310,659,1
1409,1310,1
1619,1657,1
50,69,0
224,309,0
782,852,0
1553,1560,0
1553,1619,0
1,156,1
853,854,1
224,857,1
1325,1553,1
156,1325,1
388,851,1
851,852,1
555,858,1
1458,858,1
555,855,1
10,11,1
267,268,1
585,338,1
585,924,1
924,1312,1
338,924,1
857,924,0
1311,854,0
358,388,0
88,156,0
203,210,1
425,426,1
425,430,1
459,556,1
570,571,1
459,593,1
778,822,1
895,896,1
1155,1178,1
1264,1278,1
1395,1225,1
334,454,1
460,461,1
574,575,1
574,576,1
574,579,1
801,802,1
802,815,1
1116,1197,1
1197,1198,1
1197,1201,1
1201,1203,1
1203,1611,1
76,77,1
77,220,1
77,221,1
395,1442,1
1443,1444,1
1659,1660,1
1662,1663,1
73,75,1
83,84,1
215,335,1
1003,1004,1
1004,1006,1
1006,1253,1
1389,1391,1
1391,1392,1
1391,1393,1
1436,1437,1
1393,1596,1
1532,1533,1
1533,1534,1
1534,1536,1
1028,1029,1
1030,1027,1
906,907,1
902,904,1
664,902,1
522,523,1
406,409,1
176,178,1
176,174,1
171,172,1
177,229,1
449,451,1
504,506,1
504,507,1
691,692,1
691,693,1
814,816,1
1126,1127,1
1169,1170,1
1256,1259,1
25,27,1
31,45,1
175,281,1
366,509,1
518,509,1
865,509,1
1300,1301,1
1420,1422,1
1550,1573,1
1386,1496,1
83,84,1
106,158,1
747,748,1
842,843,1
1358,1359,1
1355,1356,1
1361,1362,1
1364,1365,1
1438,1439,1
1451,1485,1
1592,1486,1
36,134,1
311,327,1
327,422,1
327,437,1
437,439,1
439,447,1
447,676,1
1503,1506,1
1631,1644,1
1609,1617,1
1617,1106,1
628,648,1
573,627,1
276,416,1
733,734,1
111,112,1
741,742,1
1018,1295,1
1295,1629,1
1454,1653,1
1655,1656,1
1543,1544,1
1543,1545,1
289,290,1
289,292,1
297,307,1
946,947,1
1073,1078,1
1076,1080,1
1077,1081,1
1402,1641,1
1558,1649,1
222,342,1
345,346,1
348,349,1
424,599,1
599,1645,1
382,440,1
349,382,0
440,566,0
1483,1645,0
950,960,1
1489,1554,1
147,148,1
502,1495,1
148,276,0
524,589,1
1497,1498,1
1498,1499,1
517,524,0
891,921,0
1657,1658,0
3,29,0
405,410,0
5,6,0
478,267,0
656,924,0
6,8,0
264,267,0
358,437,0
585,675,0
746,924,0
678,677,0
677,679,0
55,83,0
48,84,0
337,374,0
268,318,0
6,7,0
17,1,0
1,3,0
23,251,0
1477,1507,0
1477,1651,0
237,269,0
751,770,0
776,779,0
26,30,0
1308,1412,0
1583,1601,0
1637,1601,0
22,74,0
221,239,0
1643,1659,0
42,125,0
364,367,0
377,367,0
1306,1309,0
1582,367,0
367,379,0
1309,1452,0
261,386,0
414,466,0
386,1287,0
1522,1528,0
1552,1572,0
261,270,0
354,422,0
518,553,0
519,592,0
788,804,0
1302,1307,0
938,993,0
1183,1316,0
993,1643,0
423,474,0
1343,1344,0
296,694,0
776,818,0
51,64,0
110,877,0
1545,1603,0
1603,1543,0
48,50,0
55,70,0
659,688,0
1385,1409,0
